,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
0,5efa2eb9ce2f7f58fcd0b03d,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454265942.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,vertical,horizontal,,0,practice,100,0,0.0,endTrial,True
1,5efa2fc4ce2f7f58fcd0b089,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454532765.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,Pi,0.0,0,0,100,100,0.2,endTrial,False
2,5efa3072ce2f7f58fcd0b0bd,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454706467.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,C,1.0,0,0,100,200,0.4,endTrial,False
3,5efa3163ce2f7f58fcd0b0f2,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454947913.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,C,Pi,2.0,0,0,100,300,0.6,endTrial,False
4,5efa31e4ce2f7f58fcd0b116,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455076625.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,Pi,L,3.0,0,1,100,400,0.8,endTrial,False
5,5efa3250ce2f7f58fcd0b132,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455184018.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,C,L,4.0,0,1,100,500,1.0,endTrial,False
6,5efa32ccce2f7f58fcd0b153,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455308826.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,Pi,C,5.0,0,1,100,600,1.2,endTrial,False
7,5efa3306ce2f7f58fcd0b16b,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455366226.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,C,6.0,0,2,100,700,1.4,endTrial,False
8,5efa3344ce2f7f58fcd0b183,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455428334.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,C,Pi,7.0,0,2,100,800,1.6,endTrial,False
9,5efa3381ce2f7f58fcd0b19c,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455489070.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,Pi,8.0,0,2,100,900,1.79,endTrial,False
10,5efa33b6ce2f7f58fcd0b1b4,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455542916.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,C,L,9.0,0,3,100,1000,1.99,endTrial,False
11,5efa33f9ce2f7f58fcd0b1cb,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455609712.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,Pi,C,10.0,0,3,100,1100,2.19,endTrial,False
12,5efa3434ce2f7f58fcd0b1e2,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593455668494.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,Pi,L,11.0,0,3,100,1200,2.4,endTrial,False
0,5ef968a1ce2f7f58fcd0acc8,pilot2,1959-2f467add-c0d9-49a6-b35c-c5a40cca728d,1593403553624.0,3ON104KXQOWMEHBKKM48D2BQLGJ4W8,horizontal,vertical,,0,practice,25,0,0.0,endTrial,True
