,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
9,5f581ac51034572e66880d88,pilot4b,0312-5a54cbf3-4d0e-484b-b7f8-ecb4b63910f7,1599609541090.0,3DI28L7YXEEB5ISAC4R0TYXOHU0E16,L,C,8.0,0,2,0,43,434,0.35,endTrial,False
10,5f581b6a1034572e66880da2,pilot4b,0312-5a54cbf3-4d0e-484b-b7f8-ecb4b63910f7,1599609706419.0,3DI28L7YXEEB5ISAC4R0TYXOHU0E16,C,L,9.0,0,3,0,100,534,0.6,endTrial,False
11,5f581c251034572e66880dbf,pilot4b,0312-5a54cbf3-4d0e-484b-b7f8-ecb4b63910f7,1599609893605.0,3DI28L7YXEEB5ISAC4R0TYXOHU0E16,Pi,C,10.0,0,3,0,93,627,0.75,endTrial,False
12,5f581cb21034572e66880de4,pilot4b,0312-5a54cbf3-4d0e-484b-b7f8-ecb4b63910f7,1599610034144.0,3DI28L7YXEEB5ISAC4R0TYXOHU0E16,Pi,L,11.0,0,3,0,75,702,0.85,endTrial,False
0,5f581cfd1034572e66880e0e,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599610109121.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,horizontal,vertical,,0,practice,1,100,0,0.0,endTrial,True
1,5f581e221034572e66880e8e,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599610402661.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,C,Pi,0.0,0,0,1,100,100,0.25,endTrial,False
2,5f581f241034572e66880efa,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599610660248.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,L,C,1.0,0,0,1,75,175,0.35,endTrial,False
3,5f58200f1034572e66880f53,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599610895756.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,L,Pi,2.0,0,0,1,100,275,0.6,endTrial,False
4,5f5820c41034572e66880f9c,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611076516.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,C,L,3.0,0,1,1,100,375,0.85,endTrial,False
5,5f58217b1034572e66880fde,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611259018.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,Pi,L,4.0,0,1,1,100,475,1.1,endTrial,False
