,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
8,5f4fea8e1034572e6687fb27,pilot4,0741-0d5c3f38-e1fa-4a05-9f35-4a81c7cdbd71,1599072910702.0,38SKSKU7R5X0BUY01XZAYS4U6HEIL2,L,Pi,7.0,0,2,0,100,755,1.75,endTrial,False
9,5f4febc21034572e6687fb71,pilot4,0741-0d5c3f38-e1fa-4a05-9f35-4a81c7cdbd71,1599073218429.0,38SKSKU7R5X0BUY01XZAYS4U6HEIL2,C,Pi,8.0,0,2,0,87,842,1.9,endTrial,False
10,5f4fec7c1034572e6687fbb4,pilot4,0741-0d5c3f38-e1fa-4a05-9f35-4a81c7cdbd71,1599073404940.0,38SKSKU7R5X0BUY01XZAYS4U6HEIL2,Pi,C,9.0,0,3,0,100,942,2.15,endTrial,False
11,5f4fed2e1034572e6687fbf3,pilot4,0741-0d5c3f38-e1fa-4a05-9f35-4a81c7cdbd71,1599073582290.0,38SKSKU7R5X0BUY01XZAYS4U6HEIL2,Pi,L,10.0,0,3,0,100,1042,2.4,endTrial,False
12,5f4fedf31034572e6687fc3f,pilot4,0741-0d5c3f38-e1fa-4a05-9f35-4a81c7cdbd71,1599073779929.0,38SKSKU7R5X0BUY01XZAYS4U6HEIL2,C,L,11.0,0,3,0,100,1142,2.65,endTrial,False
0,5f4fee821034572e6687fc5e,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599073922801.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,vertical,horizontal,,0,practice,1,25,0,0.0,endTrial,True
1,5f4fef111034572e6687fc7c,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599074065963.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,vertical,horizontal,,0,practice,1,100,0,0.0,endTrial,True
2,5f4ff1971034572e6687fcf7,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599074711624.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,L,C,0.0,0,0,1,56,56,0.0,endTrial,False
3,5f4ff2821034572e6687fd1d,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599074946260.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,L,Pi,1.0,0,0,1,31,87,0.0,endTrial,False
4,5f4ff4451034572e6687fd5e,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599075397174.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,C,Pi,2.0,0,0,1,37,124,0.0,endTrial,False
5,5f4ff5d41034572e6687fd6a,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599075796023.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,Pi,L,3.0,0,1,1,56,180,0.0,endTrial,False
6,5f4ff62b1034572e6687fd74,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599075883630.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,Pi,C,4.0,0,1,1,31,211,0.0,endTrial,False
7,5f4ff7291034572e6687fd7e,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076137631.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,C,L,5.0,0,1,1,43,254,0.0,endTrial,False
8,5f4ff79a1034572e6687fd88,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076250247.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,C,Pi,6.0,0,2,1,25,279,0.0,endTrial,False
9,5f4ff7f21034572e6687fd92,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076338157.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,L,C,7.0,0,2,1,25,304,0.0,endTrial,False
