,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
0,5f47d52ddf57f9222c29cc16,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543149937.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,horizontal,vertical,,0,practice,0,75,0,0.0,endTrial,True
1,5f47d57ddf57f9222c29cc1a,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543229828.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,horizontal,vertical,,0,practice,0,50,0,0.0,endTrial,True
2,5f47d5b8df57f9222c29cc1e,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598543288492.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,horizontal,vertical,,0,practice,0,100,0,0.0,endTrial,True
3,5f47d911df57f9222c29cc30,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544145474.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,C,0.0,0,0,0,37,37,0.0,endTrial,False
4,5f47dacedf57f9222c29cc45,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544590347.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,Pi,1.0,0,0,0,75,112,0.1,endTrial,False
5,5f47dc19df57f9222c29cc5b,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598544921183.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,Pi,2.0,0,0,0,62,174,0.2,endTrial,False
6,5f47dcacdf57f9222c29cc70,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545068990.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,L,3.0,0,1,0,100,274,0.45,endTrial,False
7,5f47dd55df57f9222c29cc7e,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545237134.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,L,4.0,0,1,0,100,374,0.7,endTrial,False
8,5f47ddeddf57f9222c29cc90,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545389764.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,C,5.0,0,1,0,100,474,0.95,endTrial,False
9,5f47de7adf57f9222c29cca5,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545530910.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,Pi,6.0,0,2,0,100,574,1.2,endTrial,False
10,5f47dee7df57f9222c29ccb8,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545639579.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,Pi,7.0,0,2,0,87,661,1.35,endTrial,False
11,5f47df42df57f9222c29ccd0,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545730975.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,L,C,8.0,0,2,0,100,761,1.6,endTrial,False
12,5f47df95df57f9222c29ccdb,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545813665.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,L,9.0,0,3,0,100,861,1.85,endTrial,False
